CLASS,CONTENT
spam,┏━━━┓┏┓╋┏┓┏━━━┓┏━━━┓┏┓╋╋┏┓  ┃┏━┓┃┃┃╋┃┃┃┏━┓┃┗┓┏┓┃┃┗┓┏┛┃  ┃┗━━┓┃┗━┛┃┃┃╋┃┃╋┃┃┃┃┗┓┗┛┏  ┗━━┓┃┃┏━┓┃┃┗━┛┃╋┃┃┃┃╋┗┓┏┛  ┃┗━┛┃┃┃╋┃┃┃┏━┓┃┏┛┗┛┃╋╋┃┃  ┗━━━┛┗┛╋┗┛┗┛╋┗┛┗━━━┛╋╋┗┛ CHECK MY VIDEOS AND SUBSCRIBE AND LIKE PLZZ
ham,Never gets old best song ever  ❤﻿
ham,First they were fighting... Then they were making out...﻿
spam,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you"
spam,Hey guys please just spent one minute for me:) im a singer from srilanka and im 18 year&#39;s old! SooO I LIKE TO BE GREAT SINGER will be a one day so i hope it would be happen in really my life. Just view my videos and rate it and let me know how is my voice please help us guys closer to living my dream:)! I really know you&#39;d helped me who read this comment he/she can just understand my feeling ! Thanks guys lv u really much more! SUBSCRIBE IT MY CHANNEL AND ONECE AGAIN THANK U !
spam,YO GUYS IM 14 YEAR OLD RAPPER JUST STARTED RAPPING  SO PLEASE CHECK OUT MY SITE AND LEAVE FEEDBACK AND SUBSCRIBE  ALSO LIKE THIS COMMENT SO MORE CAN SEE AND MAKE MY CHANNEL BIG ASWELL
spam,Check out this video on YouTube:﻿
spam,*for 90&#39;s rap fans*  check out my Big Pun - &#39;Beware&#39; cover!  Likes n comments very much appreciated!
ham,I love this song up to the moon &gt;3 you are Rocks!﻿
ham,Hello. İ am from Azerbaijan<br />﻿
spam,"This great Warning will happen soon. ,0
LneaDw26bFst76VHKJL8PxaEy6VMNlvmriUDTSFK6vY,Ali Paša,2013-09-26T22:28:17.047000,Croatia &lt;3,0
LneaDw26bFvkAHxpKEnM25FYWkyXthsUpri6JuQsZnU,G Belrus,2013-09-26T22:26:12.832000,Nice one,0
LneaDw26bFtvZQt6JUEhasIEFRJG1exI_dVqdnQVPho,exode. comeback.,2013-09-26T22:23:00.710000,600m views.,0
LneaDw26bFunOarAg71AwGU6TJO6aZDKFIUn_TZ1_HY,Muhammad Shaeel Abbas,2013-09-26T22:15:45.476000,Fuck off!,0
LneaDw26bFt-oToUFj0z3vffLFNaxyKwZSIVQhiMx-E,Notorious Niko,2013-09-26T22:00:43.613000,""Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko "
spam,"Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko "
ham,EMINEM&lt;3 <br />the best rapper ever&lt;3﻿
ham,i hate rap﻿
spam,Check out my channel to see Rihanna short mix by me :)
spam,Every weekend a new lyric video of Eminem here VIEW LIKE SUBSCRIBE
ham,This song/video is such a trigger but it&#39;s just so good...﻿
spam,Check Out The New Hot Video By Dante B Called Riled Up
ham,Was that Meghan fox??﻿
spam,ayyy can u guys please check out my rap video im 16 n im juss tryna get some love please chrck it out an thank u
spam,COME SUBSCRIBE TO MY CHANNEL! ;-)  PLEASE!!
ham,"Awesome song!,congratulations!!!﻿"
spam,"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post"
spam,share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna
spam,share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna
spam,check out my page ADAM B BEATS 2013
spam,Look and shares my video please :D
spam,Check out this video on YouTube:﻿
spam,Like &amp; Subscribe /watch?v=5tu9gN1l310
ham,charlieee :DDDD (Those who saw Lost only will understand)﻿
spam,LADIES!!! -----&gt;&gt; If you have a broken heart or you just want to understand guys better you should check out this underground book called The Power of the Pussy on AMAZON. Best book ever for us girls! Oh...and just a warning it&#39;s for 18 and over...lol
spam,COFFEE ! LOVERS ! PLEASE ! READ ! Check out a song I wrote and sing on You Tube called COFFEE LOVA.Type COFFEE LOVA like I spell it while your already on You Tube hit enter.Then look for video titled COFFEE LOVA hit enter and BLAST ! OFF !
spam,"hey guy if you can please SUBSCRIBE to my channel im a young dedicated rapper i post videos everyday to improve  i write/perform/record/mix/edit/post everyday  i do a verse everyday (16 bars)to improve i&#39;m doing it for 365 days a whole year to improve right now i&#39;m on day 46  if you guys can please like this comment so everyone can see it and follow me on my journey/watch me improve everyday SUBSCRIBE PLEASE I&#39;m lyrical and i keep it real  help me reach my dream,help me build a fan base,THANKS(:"
ham,so many comments.﻿
ham,"Getting too 1billion views, holy moly.!!!﻿"
ham,Best song﻿
spam,SUBSCRIBE TO ME! I MAKE MUSIC!
ham,#1 song in world even in 2015﻿
ham,Hi loving it﻿
spam,subscribe me if u love eminem
ham,Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿
ham,This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿
ham,Love the video ﻿
ham,Hello I&#39;m from Bulgaria﻿
spam,if u love rihanna subscribe me
ham,Eminem rap can be easy for a boy but I can do that﻿
spam,if u love rihanna subscribe me
spam,CHECK OUT MY MUSIC VIDEO ON MY CHANEL!!!
spam,check out our bands page on youtube killtheclockhd - check out some of our original songs including &quot;your disguise&quot;
spam,could you guys please check out my channel for hiphop beats?
ham,I love this song sooooooooooooooo much﻿
spam,everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho
spam,Check out this video on YouTube:﻿
spam,Hey guys I&#39;m 87 cypher im 11 years old and Rap is my life I recently made my second album desire ep . please take a moment to check out my album on YouTube thank you very much for reading every like comment and subscription counts
ham,Eminem - Love the way you lie ♥ ♥ ♥﻿
spam,Hey guys ready for more 87 Cyphers back check out my video on YouTube. NEW ALBUM IS OUT CHECK IT OUT. MORE MUSIC TOMORROW THANKS FOR READING
spam,Hey if you guys wouldnt mind...could you check out my boys and my music...we just made a real lyrical song...search DNA Andrew Guasch...I appreciate it. Leave some real feedback and keep Hip-Hop alive
ham,Is that girl is Megan fox ﻿
ham,So freaking sad...﻿
spam,Hello. I only made ONE Eminem song on my channel. Could you guys just put A LIKE on it please? Don&#39;t need to subscribe. Thanks.
spam,"hey guys if you guys can please SUBSCRIBE to my channel ,i&#39;m a young rapper really dedicated i post a video everyday ,i post a verse (16 bars)(part of a song)everyday to improve i&#39;m doing this for 365 days ,right now i&#39;m on day 41  i&#39;m doing it for a whole year without missing one day if you guys can please SUBSCRIBE and follow me on my journey to my dream watch me improve, it really means a lot to me  thank you (:, i won&#39;t let you down i promise(: i&#39;m lyrical i keep it real!"
spam,hey its M.E.S here I&#39;m a young up and coming rapper and i wanna get my music heard i know spam wont get me fame. but at the moment i got no way of getting a little attention so please do me a favour and check out my channel and drop a sub if you enjoy yourself. im just getting started so i really appreciate those who take time to leave constructive criticism i already got 200 subscribers and 4000 views on my first vid ive been told i have potential
ham,i like the lyrics but not to music video﻿
spam,"I hope everyone is in good spirits I&#39;m a hard working student who&#39;s also a passionate singer I look foward to the day when I can make my own music to share But for now I&#39;ve just been doing covers. Check out my channel, I&#39;ve done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn&#39;t to become famous but to  inspire FYI this isn&#39;t spamming, everyone has a right to freedom of speech. Thanks "
spam,check out my channel for rap and hip hop music
ham,BR﻿
spam,adam b beats check out my page
spam,"<a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Awesome"">#Awesome</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Share"">#Share</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RT"">#RT</a> Eminem - Love The Way You Lie ft. Rihanna <a href=""http://ow.ly/2zME8f"">http://ow.ly/2zME8f</a>﻿"
spam,im M.E.S an aspiring young rapper with high hopes.  i know you will not click this link and check out my channel. you just dont want to.  well its your choice. in fact you know what DONT CLICK
ham,Looooved ﻿
ham,We need to get this to 1 Billion Views!!﻿
spam,"Hey? Everyone Please take a moment to read this. I work my ass off hoping to make it into the music industry but its hard to? get people to hear you when you don’t have money for advertisements and exposure I am a Young Artist who has dreams and goals like everybody else Please take 30 seconds and visit my channel You don’t have to like? me, just give me a chance to prove my talent Also, please take just 1 second of your life and Thumb this comment up it would be Super Helpful."
ham,Amazing﻿
ham,Almost a billion﻿
ham,Great song﻿
spam,PLEASE CHECK OUT MY VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot; THANKS
spam,Okay trust me I&#39;m doing a favor. You NEED to check out this guy named Columbus Nelson on YouTube.
spam,I agree they are just damn spammers. They suck. Im trying to do the same and get known. I know the feeling. I will help you out and leave likes and comments on your page. I hope you could do the same and maybe subscribe to me that would be awesome thanks
spam,adam b beats check out my page 2013
spam,CHECK OUT THESE LYRICS /watch?v=yUTTX04oyqQ
ham,"I don&#39;t understand this song, I have had the passion for women feel like im losing my mind but i don&#39;t understand the ideas of loving the the way someone lies.....﻿"
spam,*****PLEASE READ*****  Hey everyone! I&#39;m a 19 year old student  who loves to sing.  I record and upload covers on my channel. I would love if you could check them out.  Just give me a chance. You don&#39;t have to thumbs up or subscribe (But you can if you like what your hear)  Just listen. I&#39;d really appreciate.  ~THANK YOU for your time. ~
ham,Anybody else here in 2015?﻿
spam,"Hi I&#39;m lil m !!! Check out love the way you lie!!!! My live performance and many others,,, videos and my own lyrics!!!!! Thanks"
spam,I&#39;m subscribing to you just because your comment was that great.
ham,I like the Mmph version better﻿
spam,Terrance. .thank you for serving our country. How do i &quot;like you&quot; or &quot;subscribe&quot;?
ham,Thumbs up if you listen this in 2015.﻿
spam,Hey everyone check out my channel leave a like and subscribe please and if there is a song you want me to do post the name in the comments and I will get on to it(: Thanks
spam,do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity
spam,Hi everyone. We are a duo and we are starting to record freestyles and put them on youtube. If any of you could check it out and like/comment it would mean so much to us because we love doing this. We may not have the best recording equipment but if you listen to our lyrics and rhymes I think you&#39;ll like it. If you do then please subscribe and share because we love making these videos and we want you to like them as much as possible so feel free to comment and give us pointers! Thank you!
spam,For all you ladies out there......  Check out this link!  You&#39;ll find the hottest hairstyles and the latest trends for women!  Go to this site and you&#39;ll upgrade your hairstyles and fashion senses to a higher level!  Don&#39;t get left behind!     ---&gt;   goo.gl\BxrOSR
ham,Hi I am from bangladesh 💜﻿
ham,Is that Megan Fox?﻿
ham,Fire..﻿
spam,EMINEM FANS!!!  - Check Out The New Song &quot;FEELIN&#39; GOOD&quot; By J-D-P  Just Click The &quot;GHOSTPOET100&quot; Link Above This Post  Thank You All...
spam,Hi Guys im an Upcoming Rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all HATERS are welcome to :) thanks
spam,"CHECK OUT THIS NEW VIDEO I MADE CALLED &quot;WE LOVE MIND MASTER IT&quot;, THANK U SO MUCH "
ham,I love the way you lie﻿
spam,hey its M.E.S here I&#39;m a young up and coming rapper and i wanna get my music heard i know spam wont get me fame. but at the moment i got no way of getting a little attention so please do me a favour and check out my channel and drop a sub if you enjoy yourself. im just getting started so i really appreciate those who take time to leave constructive criticism i already got 200 subscribers and 4000 views on my first vid ive been told i have potential
ham,Love the way you lie II is nicer in my opinion. :D﻿
ham,Almost to a billion :)﻿
ham,If you are a person that loves real music you should listen to &quot;Cruz Supat&quot;<br />He is awesome as fuck!!! Just as eminem used to be.﻿
spam,Also check out D.j.j where do i go now and road to recovery
ham,Charlie got off the island and dated Megan Fox? b-but what about claire?﻿
spam,Hi guys ! !  Check Out My Remixes ! !  Thanx You&#39;re Great ! ! SWAG ! !
spam,"Please check out my youtube channel! Just uploaded my first youtube video please check it out, you will not regret it!"
ham,Eminem best rapper all the time﻿
ham,Omg! This guy sounds like an american professor green﻿
ham,thumbs up if you think this should have 1 billion views﻿
ham,Lemme Top Comments Please!!﻿
ham,i love this song﻿
ham,My favorite song 💗💗💗💗﻿
spam,tryna work with some rappers check out the ones i already have on my channel
spam,Check out Berzerk video on my channel ! :D
ham,super﻿
spam,eminem new song check out my videos
spam,Check out this video on YouTube:﻿
spam,"My friends wife earns 4000DOLLARS a month ,you can do it do if you want to be a wwhore ,you can not get these type of wages for working from home on a PC taking surveys ...dont believe that shit,just because yahoo and other are taking their money does not mean they are LEGIT ..Please like this so the MSG gets thru to vulnerable  people Like eminem used to be "
spam,Subscribe To Mê Please Guys
spam,"this is the 4th most watched video on youtube. and hes the 21 most subscribed channel on youtube, just recentley surpassing justing bieber and is less then 1,00 subs away from beating taylor swift"
spam,hey its M.E.S here I&#39;m a young up and coming rapper and i wanna get my music heard i know spam wont get me fame. but at the moment i got no way of getting a little attention so please do me a favour and check out my channel and drop a sub if you enjoy yourself. im just getting started so i really appreciate those who take time to leave constructive criticism i already got 200 subscribers and 4000 views on my first vid ive been told i have potential
ham,Love you﻿
spam,Lil m !!!!! Check hi out!!!!! Does live the way you lie and many more ! Check it out!!! And subscribe
spam,"Hello to everyone! Please check out my video: /watch?v=2b4WyWpHi8c It takes just 2 minutes, hope I don&#39;t ask too much. If you can&#39;t help me just Like &amp; Share the video please, so more people will see it. Thumbs UP, it would mean so much to me, maybe will make my dream come true. Thanks to everyone, GOD BLESS YOU ALL!"
spam,/watch?v=aImbWbfQbzg watch and subscrible
ham,I  love you Eminem﻿
ham,love the you lie the good﻿
ham,still listening in 2015﻿
spam,hey its M.E.S here I&#39;m a young up and coming rapper and i wanna get my music heard i know spam wont get me fame. but at the moment i got no way of getting a little attention so please do me a favour and check out my channel and drop a sub if you enjoy yourself. im just getting started so i really appreciate those who take time to leave constructive criticism i already got 200 subscribers and 4000 views on my first vid ive been told i have potential
ham,Eminem rocks!﻿
spam,CHECK OUT MY YOUTUBE VIDEOS FOR FUNNY AND COOL RAP
ham,hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿
ham,awesome﻿
ham,I lovet﻿
spam,Subscribe and like my video please
spam,subscribed :) btw you have a good style keep it up brother :))
spam,I KNOW YOU MAY NOT WANT TO READ THIS BUT please do  I&#39;m 87 Cypher an 11 year old rapper I have skill people said .my stuff isn&#39;t as good as my new stuff but its good please check out my current songs comment and like thank you for reading rap is my life
ham,Charlie from Lost!﻿
ham,Eminem THE BEST !﻿
spam,"Usually guys I would vote people like this down but actually check out his channel, it reminds me of a smaller version of 8 mile. Give this guy a chance since everyone has to start somewhere!"
ham,❤️❤️❤️﻿
spam,hello friends. i am a young 15 year old rapper trying to make something out of nothing..Please can you take a second of your life and check out my videos and help me reach my Dreams! GoD Bless YOU
ham,beautiful song!﻿
spam,CHECK OUT MY CHANNEL BOYS AND GIRLS ;)
spam,hey guys i know its annoying getting spammed sorry bout that but please take a moment to check out my channel  IM A RAPPER with DECENT skills. i want to share my music with more people so take a listen   THUMBS UP SO MORE CAN SEE THIS
ham,best rap ever﻿
ham,I lover this song
spam,hey guys i know you wanna skip over this but please take a chance and check out my music I&#39;m a young up and coming rapper with a big dream and i appreciate constructive critisism. so please have a look thank you for your time
ham,Love your songs<br />Supper cool<br />﻿
ham,I like the music...but is anyone listening to the lyrics?﻿
spam,Maybe no one will probably read this. But just in case you do Can You Put A &quot;Thumbs Up &quot;So Others Can See. I Just started rapping seriously (Type in Lunden- 1990 Video) just a simple button? can help my dreams come true. people will ignore this but if you don&#39;t can you listen and subscribe Thank you all God Bless.
ham,:D﻿
spam,Check out my channel for some lyricism.....
ham,Me and my big sister like you﻿
ham,Not bad﻿
ham,I love eminem  &lt;3﻿
ham,She looks like Megan Fox 😂 xD!!﻿
spam,Hey Go To My Channel Check Out My Dongs Thanks YouTuber&#39;s
ham,is that megan fox?﻿
ham,You can not hate eminem and nirvana...trust me﻿
ham,Like eminen﻿
spam,check out my playlist
spam,Media is Evil! Please see and share: W W W. THE FARRELL REPORT. NET  Top Ex UK Police Intelligence Analyst turned Whistleblower Tony Farrell exposes a horrific monstrous cover-up perpetrated by criminals operating crimes from inside Mainstream Entertainment and Media Law firms. Beware protect your children!! These devils brutally target innocent people. These are the real criminals linked to London&#39;s 7/7 attacks 2005.  MUST SEE AND MAKE VIRAL!!! Also see UK Column video on 31st January 2013.
spam,subscribe to my channel who can
ham,Simply rap god﻿
ham,is that megan fox x:D?﻿
ham,I love this song﻿
spam,check out my new EM cover video trailer
ham,Really good song .<br />you know love song song.﻿
ham,Eminem is the greatest artist to ever touch the mic.﻿
ham,i love Rihanna 😍😍😍😍[♧from Thailand♧]﻿
ham,some classsic :))))﻿
spam,sorry for the spam yall I know it’s annoying. But if you can spare a min please check out the new track on my channel i&#39;m a upcoming uk rapper.please come check out my songs u might like em. If not no worries I’m sorry for wastin your time. Even thumbs up to get more noticed will really help. peace yall
ham,"This song is like an oreo, the black part is good but the white part is better﻿"
ham,That guy charley of lost TV show﻿
spam,subscribe to my channel  /watch?v=NxK32i0HkDs
spam,HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.
ham,Hello Brazil 😻✌💓😻👏﻿
ham,EMINEM the best EVER.﻿
spam,hey guys look im aware im spamming and it pisses people off but please take a moment to check out my music.  im a young rapper and i love to do it and i just wanna share my music with more people  just click my picture and then see if you like my stuff
spam,DO YOU KNOW HOW SEAN KINGSTON GOT FAMOUS WHY DON&#39;T YOU LOOK IT UP KID BEFORE YOUR SO HARD ON YOURSELF!!  IF YOU HIT ME UP WITH A MESSAGE IN MY INBOX AND SUBSCRIBE I WILL CHECK OUT YOUR CHANNEL....SOUNDS FAIR TO ME.
ham,Best. Song. EVER 🙌﻿
spam,check out eminem latest track survival if u didnt
spam,SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE
spam,Check out my videos guy! :) Hope you guys had a good laugh :D
spam,3 yrs ago I had a health scare but thankfully I’m okay. I realized I wasn’t living life to the fullest.  Now I’m on a mission to do EVERYTHING I’ve always wanted to do. If you found out you were going to die tomorrow would you be happy with what you’ve accomplished or would you regret not doing certain things? Sorry for spamming I’m just trying to motivate people to do the things they’ve always wanted to. If you’re bored come see what I’ve done so far! Almost 1000 subscribers and I just started!
ham,Rihanna looks so beautiful with red hair ;)﻿
ham,857.482.940 views AWESOME !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿
